stu_no,q1_accuracy,q1_score_pct,q1_avg_time_sec,q1_easy_accuracy,q1_medium_accuracy,q1_hard_accuracy,q1_slow_wrong_ratio,q1_fast_wrong_ratio,q1_num_topics_below_50pct,q1_weakest_topic_score,q1_topic_Algorithm_Design,q1_topic_Arrays,q1_topic_Code_Tracing,q1_topic_Conditional_Statements,q1_topic_Data_Types,q1_topic_Debugging,q1_topic_Expressions,q1_topic_Flowcharts_and_Algorithms,q1_topic_Functions,q1_topic_Input_and_Output,q1_topic_Loops,q1_topic_Nested_Loops,q1_topic_Operators,q1_topic_Strings,q1_topic_Variables_and_Identifiers,q2_accuracy,q2_score_pct,q2_avg_time_sec,q2_easy_accuracy,q2_medium_accuracy,q2_hard_accuracy,q2_slow_wrong_ratio,q2_fast_wrong_ratio,q2_num_topics_below_50pct,q2_weakest_topic_score,q2_topic_Arrays_2D,q2_topic_Classes_and_Objects,q2_topic_Complexity_Analysis,q2_topic_Debugging_Advanced,q2_topic_Exception_Handling,q2_topic_File_Handling,q2_topic_Functions,q2_topic_Inheritance,q2_topic_Loops,q2_topic_OOP_Basics,q2_topic_Pointers_and_References,q2_topic_Recursion,q2_topic_Searching_Algorithms,q2_topic_Sorting_Algorithms,q2_topic_Strings_Advanced,q3_accuracy,q3_score_pct,q3_avg_time_sec,q3_easy_accuracy,q3_medium_accuracy,q3_hard_accuracy,q3_slow_wrong_ratio,q3_fast_wrong_ratio,q3_num_topics_below_50pct,q3_weakest_topic_score,q3_topic_Abstract_Classes,q3_topic_Algorithm_Patterns,q3_topic_Code_Optimisation,q3_topic_Debugging_Complex,q3_topic_Design_Patterns,q3_topic_Dynamic_Programming,q3_topic_Graphs_Basics,q3_topic_Interfaces,q3_topic_Linked_Lists,q3_topic_OOP_Advanced,q3_topic_Polymorphism,q3_topic_Problem_Decomposition,q3_topic_Stack_and_Queue,q3_topic_Testing_Basics,q3_topic_Trees_Basics,trend_q1_q2,trend_q2_q3,trend_q1_q3,final_mark,final_grade,passed,risk_label
STU0011,0.3,30.0,49.17,0.5,0.3333,0.0,0.3667,0.0,9,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.3333,0.5,0.5,0.0,1.0,0.3,30.0,77.3,0.6,0.2727,0.2143,0.3333,0.0,8,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,1.0,0.0,0.3333,0.0,0.0,0.4667,46.67,70.03,0.4,0.2727,0.6429,0.3,0.0,6,0.0,0.0,0.5,0.5,1.0,0.5,0.6667,0.0,0.0,0.6667,0.0,1.0,1.0,0.5,0.0,0.0,0.0,16.67,16.67,44,D+,0,High
STU0012,0.4,40.0,57.0,0.5,0.4167,0.25,0.4,0.0,7,0.0,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.6667,0.0,0.3333,0.0,0.5,0.6667,0.5,0.4333,43.33,70.83,0.6,0.4545,0.3571,0.3,0.0,6,0.0,0.0,0.0,0.0,0.5,0.0,0.5,1.0,0.5,0.5,0.0,0.0,1.0,0.6667,0.6667,0.5,0.4667,46.67,75.7,0.2,0.5455,0.5,0.3,0.0,5,0.0,0.0,0.5,0.5,0.5,0.5,0.6667,0.5,0.0,1.0,0.5,0.0,0.5,0.5,0.0,0.3333,3.3299999999999983,3.3400000000000034,6.670000000000002,50,C,1,Medium
STU0013,0.6,60.0,41.87,0.6,0.6667,0.5,0.2667,0.0,6,0.0,0.0,0.3333,0.5,1.0,0.0,0.5,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.3333,0.5,0.4,40.0,71.53,0.8,0.4545,0.2143,0.3667,0.0,5,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.0,1.0,0.6667,0.0,0.5,0.4333,43.33,73.7,0.4,0.4545,0.4286,0.2667,0.0,7,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.6667,0.0,0.5,0.5,0.0,0.0,0.3333,-20.0,3.3299999999999983,-16.67,47,C-,0,High
STU0014,0.5,50.0,45.47,0.6,0.5833,0.25,0.3333,0.0,5,0.0,0.0,0.3333,0.5,0.5,1.0,0.5,1.0,1.0,0.6667,1.0,0.0,0.0,0.5,0.3333,1.0,0.4667,46.67,78.93,0.4,0.5455,0.4286,0.3,0.0,3,0.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.0,0.5,0.6667,0.0,0.0,0.6667,66.67,72.4,0.8,0.6364,0.6429,0.2333,0.0,2,0.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,1.0,0.0,1.0,0.5,1.0,0.0,1.0,0.6667,-3.3299999999999983,20.0,16.67,46,C-,0,High
STU0015,0.6,60.0,44.13,0.9,0.4167,0.5,0.2667,0.0,3,0.0,1.0,0.6667,0.0,1.0,0.5,0.0,1.0,1.0,0.3333,1.0,0.6667,0.5,0.5,0.6667,1.0,0.6667,66.67,71.43,0.8,0.7273,0.5714,0.2667,0.0,3,0.0,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,0.6667,0.3333,0.5,0.6333,63.33,74.07,0.6,0.6364,0.6429,0.1667,0.0,3,0.0,1.0,0.0,1.0,1.0,1.0,0.6667,0.5,0.0,0.6667,0.0,0.5,1.0,0.5,1.0,0.6667,6.670000000000002,-3.3400000000000034,3.3299999999999983,53,C,1,Medium
STU0016,0.6667,66.67,44.73,0.6,0.8333,0.5,0.1667,0.0,3,0.0,0.0,0.3333,0.5,1.0,0.5,0.5,1.0,1.0,0.6667,0.0,0.6667,1.0,0.5,1.0,1.0,0.7667,76.67,77.5,0.8,0.6364,0.8571,0.1333,0.0,3,0.0,1.0,0.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,0.6,60.0,65.03,1.0,0.2727,0.7143,0.1667,0.0,4,0.0,1.0,1.0,0.5,0.5,0.5,0.3333,0.5,1.0,0.3333,1.0,1.0,0.5,1.0,0.0,0.3333,10.0,-16.67,-6.670000000000002,65,B,1,Low
STU0017,0.9,90.0,38.57,1.0,0.9167,0.75,0.1,0.0,2,0.0,0.0,0.3333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8667,86.67,78.07,0.6,0.9091,0.9286,0.0333,0.0,1,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,1.0,0.8,80.0,76.6,0.8,0.8182,0.7857,0.1333,0.0,2,0.0,1.0,1.0,1.0,1.0,1.0,0.3333,1.0,1.0,1.0,1.0,1.0,0.5,0.0,1.0,0.6667,-3.3299999999999983,-6.670000000000002,-10.0,87,A+,1,Low
STU0018,0.3,30.0,63.23,0.5,0.3333,0.0,0.4333,0.0,9,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.3333,1.0,0.3333,0.0,0.5,0.6667,0.0,0.4333,43.33,78.4,0.4,0.4545,0.4286,0.3333,0.0,4,0.0,0.5,0.5,0.0,0.5,1.0,0.5,0.5,0.5,0.0,0.5,0.0,0.5,1.0,0.0,0.5,0.3667,36.67,80.63,0.6,0.1818,0.4286,0.3667,0.0,6,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.5,1.0,0.3333,1.0,0.5,0.5,0.5,0.0,0.0,13.329999999999998,-6.659999999999997,6.670000000000002,39,D,0,High
STU0019,0.2667,26.67,58.47,0.4,0.3333,0.0,0.3667,0.0,9,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.3333,0.5,0.2667,26.67,79.13,0.2,0.1818,0.3571,0.3667,0.0,9,0.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.3333,33.33,72.77,0.6,0.1818,0.3571,0.4,0.0,7,0.0,0.0,0.5,0.5,0.0,0.5,0.3333,0.0,1.0,0.0,0.5,1.0,0.5,0.5,0.0,0.0,0.0,6.659999999999997,6.659999999999997,30,E,0,High
STU0020,0.7,70.0,43.0,1.0,0.75,0.25,0.2333,0.0,1,0.0,0.0,0.6667,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.6667,0.5,0.7667,76.67,76.2,0.8,0.9091,0.6429,0.1667,0.0,0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,0.6667,1.0,0.5,0.5667,56.67,69.4,0.4,0.4545,0.7143,0.2,0.0,5,0.0,0.0,0.0,1.0,0.5,0.5,0.6667,0.5,0.0,0.6667,1.0,1.0,1.0,0.0,0.0,0.6667,6.670000000000002,-20.0,-13.329999999999998,57,C+,1,Medium
STU0021,0.6333,63.33,41.23,0.5,0.8333,0.5,0.2,0.0333,3,0.0,0.0,0.6667,0.0,0.5,0.5,0.0,1.0,1.0,0.6667,1.0,1.0,1.0,0.5,0.6667,1.0,0.5667,56.67,73.27,0.6,0.6364,0.5,0.2333,0.0,3,0.0,0.0,0.0,0.5,0.5,0.0,0.5,1.0,0.5,1.0,1.0,1.0,0.5,0.6667,0.6667,0.5,0.6,60.0,73.3,0.8,0.5455,0.5714,0.3,0.0,4,0.0,1.0,0.0,0.5,1.0,1.0,0.3333,1.0,1.0,0.6667,0.5,0.0,0.5,1.0,0.0,0.6667,-6.659999999999997,3.3299999999999983,-3.3299999999999983,60,B-,1,Medium
STU0022,0.8,80.0,43.2,0.9,0.75,0.75,0.1333,0.0,0,0.5,1.0,0.6667,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.6667,1.0,1.0,0.6667,0.5,0.7667,76.67,72.43,0.6,0.8182,0.7857,0.0667,0.0,2,0.0,1.0,0.5,1.0,1.0,1.0,1.0,0.0,1.0,0.5,1.0,0.0,1.0,0.6667,0.6667,1.0,0.8333,83.33,78.13,0.8,0.7273,0.9286,0.0667,0.0,2,0.0,1.0,1.0,1.0,1.0,1.0,0.6667,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,-3.3299999999999983,6.659999999999997,3.3299999999999983,86,A+,1,Low
STU0023,0.7667,76.67,39.6,0.9,0.75,0.625,0.2,0.0,0,0.5,1.0,0.6667,0.5,1.0,1.0,0.5,1.0,1.0,0.6667,1.0,1.0,0.5,1.0,0.6667,0.5,0.4333,43.33,71.93,0.4,0.3636,0.5,0.3333,0.0,7,0.0,0.0,1.0,0.5,0.5,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6667,0.0,1.0,0.7333,73.33,75.47,0.8,0.7273,0.7143,0.1333,0.0,4,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,0.3333,-33.34,30.0,-3.3400000000000034,66,B,1,Low
STU0024,0.6,60.0,40.53,0.8,0.5833,0.375,0.3,0.0,4,0.0,0.0,0.6667,0.5,0.5,1.0,1.0,1.0,0.0,0.6667,0.0,0.6667,0.5,0.5,0.3333,1.0,0.5333,53.33,82.03,0.8,0.4545,0.5,0.3,0.0,4,0.0,1.0,0.5,1.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,1.0,1.0,0.6667,0.0,0.5,0.4,40.0,83.3,0.6,0.3636,0.3571,0.3333,0.0,7,0.0,1.0,0.0,0.5,0.0,0.0,0.6667,0.0,0.0,0.6667,0.5,1.0,0.5,0.5,0.0,0.3333,-6.670000000000002,-13.329999999999998,-20.0,52,C,1,Medium
STU0025,0.9,90.0,38.47,1.0,1.0,0.625,0.1,0.0,0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6667,1.0,0.7667,76.67,78.67,1.0,0.7273,0.7143,0.1667,0.0,2,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.5,1.0,0.5,1.0,0.6667,1.0,0.8333,83.33,70.93,1.0,0.7273,0.8571,0.1,0.0,1,0.3333,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.3333,-13.329999999999998,6.659999999999997,-6.670000000000002,76,A-,1,Low
STU0026,0.2667,26.67,64.43,0.2,0.5,0.0,0.4333,0.0,10,0.0,0.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.0,0.0,0.3333,0.0,0.5,0.3333,0.0,0.4,40.0,78.47,0.0,0.2727,0.6429,0.2667,0.0,6,0.0,0.0,0.0,0.5,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.3333,0.6667,0.0,0.4,40.0,86.33,0.6,0.2727,0.4286,0.4,0.0,6,0.0,0.0,0.0,0.0,0.5,0.5,0.3333,0.5,1.0,0.0,0.5,1.0,0.5,0.5,1.0,0.3333,13.329999999999998,0.0,13.329999999999998,34,E,0,High
STU0027,0.7,70.0,41.67,1.0,0.5,0.625,0.2667,0.0,1,0.0,1.0,0.6667,0.5,1.0,0.5,0.5,1.0,1.0,0.6667,1.0,1.0,0.0,0.5,0.6667,1.0,0.5667,56.67,76.43,0.6,0.6364,0.5,0.3,0.0,5,0.0,0.5,1.0,1.0,0.5,1.0,0.0,0.0,0.0,0.5,0.0,1.0,1.0,0.3333,1.0,1.0,0.5667,56.67,78.8,0.4,0.6364,0.5714,0.2333,0.0,6,0.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.0,0.3333,1.0,1.0,0.5,0.0,1.0,1.0,-13.329999999999998,0.0,-13.329999999999998,63,B-,1,Medium
STU0028,0.5,50.0,38.3,0.5,0.6667,0.25,0.2667,0.0,6,0.0,0.0,0.6667,0.5,1.0,0.5,1.0,0.0,1.0,0.3333,0.0,0.3333,0.5,0.5,0.0,1.0,0.4667,46.67,75.43,0.2,0.5455,0.5,0.2333,0.0,5,0.0,0.0,0.5,0.0,0.5,1.0,0.0,0.0,0.5,1.0,0.5,0.0,0.5,0.6667,1.0,0.5,0.5,50.0,82.0,0.6,0.4545,0.5,0.3,0.0,5,0.0,1.0,0.0,0.5,0.5,1.0,0.3333,1.0,0.0,0.3333,0.5,0.5,0.5,0.5,1.0,0.3333,-3.3299999999999983,3.3299999999999983,0.0,53,C,1,Medium
STU0029,0.6333,63.33,40.07,0.8,0.5,0.625,0.3,0.0,4,0.0,1.0,1.0,0.5,0.5,1.0,0.5,0.0,0.0,0.6667,1.0,1.0,0.0,0.5,0.3333,1.0,0.6667,66.67,73.4,0.8,0.7273,0.5714,0.1667,0.0,2,0.0,1.0,0.5,0.5,0.5,0.0,0.5,1.0,0.5,1.0,0.5,0.0,0.5,0.6667,1.0,1.0,0.7333,73.33,73.53,0.8,0.6364,0.7857,0.1333,0.0,2,0.0,1.0,0.5,1.0,1.0,1.0,0.6667,1.0,1.0,0.3333,1.0,1.0,0.5,0.5,0.0,0.6667,3.3400000000000034,6.659999999999997,10.0,60,B-,1,Medium
STU0030,0.8667,86.67,38.67,0.7,1.0,0.875,0.0333,0.0,0,0.5,1.0,0.6667,1.0,1.0,1.0,1.0,1.0,1.0,0.6667,1.0,1.0,0.5,1.0,0.6667,1.0,0.7333,73.33,71.93,1.0,0.5455,0.7857,0.1333,0.0,3,0.0,0.5,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.7,70.0,75.93,0.8,0.5455,0.7857,0.1667,0.0,2,0.0,1.0,0.5,0.5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.3333,-13.340000000000003,-3.3299999999999983,-16.67,85,A+,1,Low
STU0031,0.3667,36.67,64.93,0.7,0.3333,0.0,0.4333,0.0,9,0.0,0.0,0.3333,0.5,1.0,1.0,0.0,1.0,0.0,0.3333,1.0,0.3333,0.0,0.5,0.0,0.0,0.4667,46.67,73.17,0.0,0.5455,0.5714,0.2333,0.0,4,0.0,0.5,1.0,0.5,0.5,1.0,1.0,0.5,0.0,0.5,0.5,0.0,0.5,0.6667,0.0,0.0,0.4,40.0,74.37,0.2,0.4545,0.4286,0.2667,0.0,7,0.0,1.0,1.0,1.0,0.5,0.0,0.3333,0.5,0.0,0.3333,0.0,0.0,0.5,0.5,1.0,0.0,10.0,-6.670000000000002,3.3299999999999983,44,D+,0,High
STU0032,0.5333,53.33,45.63,0.7,0.5833,0.25,0.2667,0.0,4,0.0,1.0,0.6667,0.5,0.5,0.5,0.5,0.0,0.0,0.3333,1.0,1.0,0.5,1.0,0.0,0.5,0.5667,56.67,81.13,0.4,0.6364,0.5714,0.1667,0.0,5,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.5,0.5,0.0,0.5,0.0,1.0,0.6667,0.6667,0.0,0.5667,56.67,71.53,0.8,0.4545,0.5714,0.2333,0.0,5,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.5,1.0,0.3333,0.0,1.0,1.0,0.5,1.0,0.0,3.3400000000000034,0.0,3.3400000000000034,64,B-,1,Medium
STU0033,0.7667,76.67,40.93,0.9,0.8333,0.5,0.1667,0.0,1,0.3333,1.0,0.6667,0.5,1.0,1.0,0.5,1.0,1.0,0.3333,1.0,0.6667,1.0,1.0,0.6667,1.0,0.8,80.0,76.27,0.6,0.8182,0.8571,0.1333,0.0,1,0.0,0.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6667,0.5,0.5333,53.33,71.0,0.4,0.4545,0.6429,0.2,0.0,5,0.0,1.0,0.0,0.5,1.0,1.0,0.0,0.5,0.0,1.0,0.0,0.5,0.5,1.0,0.0,0.6667,3.3299999999999983,-26.67,-23.340000000000003,74,B+,1,Low
STU0034,0.5,50.0,44.0,0.7,0.5833,0.125,0.3667,0.0333,7,0.0,0.0,0.3333,0.5,1.0,1.0,0.0,0.0,0.0,0.6667,1.0,0.0,0.0,0.5,1.0,1.0,0.4667,46.67,79.17,0.4,0.7273,0.2857,0.3,0.0,6,0.0,0.5,1.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,1.0,1.0,0.5,0.3333,0.6667,0.5,0.5333,53.33,73.27,0.6,0.2727,0.7143,0.1667,0.0,6,0.0,1.0,1.0,1.0,1.0,1.0,0.3333,0.0,1.0,0.3333,0.5,0.5,0.0,0.5,0.0,0.3333,-3.3299999999999983,6.659999999999997,3.3299999999999983,49,C-,0,High
