stu_no,q1_accuracy,q1_score_pct,q1_avg_time_sec,q1_easy_accuracy,q1_medium_accuracy,q1_hard_accuracy,q1_slow_wrong_ratio,q1_fast_wrong_ratio,q1_num_topics_below_50pct,q1_weakest_topic_score,q1_topic_Algorithm_Design,q1_topic_Arrays,q1_topic_Code_Tracing,q1_topic_Conditional_Statements,q1_topic_Data_Types,q1_topic_Debugging,q1_topic_Expressions,q1_topic_Flowcharts_and_Algorithms,q1_topic_Functions,q1_topic_Input_and_Output,q1_topic_Loops,q1_topic_Nested_Loops,q1_topic_Operators,q1_topic_Strings,q1_topic_Variables_and_Identifiers,final_mark,final_grade,passed,risk_label
STU0061,0.9333,93.33,40.73,1.0,1.0,0.75,0.0667,0.0,1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6667,1.0,83,A,1,Low
STU0062,0.7667,76.67,41.63,0.9,0.8333,0.5,0.2,0.0,2,0.0,0.0,0.6667,0.5,1.0,1.0,0.5,0.0,1.0,1.0,1.0,0.6667,1.0,1.0,0.6667,1.0,72,B+,1,Low
STU0063,0.6333,63.33,43.27,0.8,0.6667,0.375,0.2667,0.0,2,0.0,1.0,0.6667,0.5,0.0,0.5,0.0,1.0,1.0,0.6667,1.0,0.6667,1.0,0.5,0.6667,1.0,64,B-,1,Medium
STU0064,0.5,50.0,48.13,0.8,0.4167,0.25,0.3667,0.0,5,0.0,0.0,0.6667,0.5,0.5,0.5,0.0,0.0,1.0,0.6667,1.0,0.3333,1.0,0.5,0.0,1.0,42,D+,0,High
STU0065,0.6667,66.67,42.0,1.0,0.5833,0.375,0.2667,0.0,3,0.0,0.0,1.0,0.5,0.5,0.5,0.5,1.0,1.0,0.3333,1.0,0.3333,0.5,1.0,1.0,1.0,74,B+,1,Low
STU0066,0.6667,66.67,46.4,0.9,0.5833,0.5,0.2667,0.0,3,0.0,0.0,0.3333,0.0,0.5,1.0,1.0,1.0,1.0,0.6667,1.0,0.6667,0.5,1.0,0.6667,1.0,73,B+,1,Low
STU0067,0.7333,73.33,40.73,1.0,0.6667,0.5,0.2667,0.0,2,0.0,1.0,0.3333,0.5,0.5,1.0,1.0,1.0,0.0,0.6667,1.0,0.6667,1.0,1.0,0.6667,1.0,67,B,1,Low
STU0068,0.5,50.0,46.0,0.8,0.5,0.125,0.3333,0.0,8,0.0,0.0,0.6667,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.3333,0.0,1.0,0.3333,1.0,58,C+,1,Medium
STU0069,0.5667,56.67,54.27,0.8,0.4167,0.5,0.3333,0.0,6,0.0,0.0,0.3333,0.0,1.0,0.5,1.0,1.0,0.0,1.0,1.0,0.6667,0.0,1.0,0.6667,0.0,65,B,1,Low
STU0070,0.6,60.0,50.03,0.7,0.5,0.625,0.2,0.0,4,0.0,0.0,0.3333,1.0,1.0,0.5,0.5,1.0,0.0,0.6667,1.0,0.6667,0.0,1.0,0.6667,0.5,59,C+,1,Medium
STU0071,0.6333,63.33,42.03,0.4,0.8333,0.625,0.2,0.0,3,0.0,1.0,0.6667,1.0,0.5,0.5,1.0,0.0,1.0,1.0,1.0,0.3333,0.5,0.5,0.3333,0.5,60,B-,1,Medium
STU0072,0.9,90.0,39.07,1.0,0.8333,0.875,0.1,0.0,0,0.5,1.0,0.6667,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.6667,1.0,1.0,1.0,1.0,79,A-,1,Low
STU0073,0.5,50.0,49.7,0.6,0.5833,0.25,0.3667,0.0,8,0.0,0.0,0.3333,1.0,0.0,1.0,0.0,0.0,1.0,0.6667,1.0,0.3333,1.0,1.0,0.3333,0.0,35,D,0,High
STU0074,0.2667,26.67,58.37,0.5,0.0833,0.25,0.4667,0.0,9,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.0,1.0,0.3333,0.0,0.5,0.3333,0.0,36,D,0,High
STU0075,0.7,70.0,42.7,0.9,0.5833,0.625,0.2333,0.0,3,0.0,0.0,0.3333,0.5,0.5,1.0,0.5,1.0,0.0,0.6667,1.0,0.6667,1.0,1.0,1.0,1.0,67,B,1,Low
STU0076,0.7667,76.67,41.47,0.8,0.8333,0.625,0.2,0.0,3,0.0,1.0,0.6667,0.5,1.0,0.5,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,81,A,1,Low
STU0077,0.7,70.0,39.4,0.7,0.6667,0.75,0.2,0.0,2,0.0,1.0,1.0,0.5,0.5,0.0,0.5,1.0,1.0,1.0,1.0,0.6667,0.5,0.0,1.0,1.0,60,B-,1,Medium
STU0078,0.9,90.0,38.7,1.0,1.0,0.625,0.1,0.0,1,0.0,0.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,81,A,1,Low
STU0079,0.5,50.0,47.0,0.6,0.5833,0.25,0.3667,0.0,6,0.0,1.0,0.6667,1.0,1.0,0.5,0.5,0.0,0.0,0.3333,1.0,0.6667,0.0,1.0,0.0,0.0,42,D+,0,High
STU0080,0.6667,66.67,44.67,1.0,0.5833,0.375,0.3333,0.0,2,0.0,0.0,0.6667,0.5,0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.6667,0.5,53,C,1,Medium
STU0081,0.9333,93.33,37.33,1.0,0.9167,0.875,0.0667,0.0,0,0.5,1.0,0.6667,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,86,A+,1,Low
STU0082,0.6333,63.33,44.33,1.0,0.4167,0.5,0.3,0.0,3,0.0,1.0,1.0,0.0,0.5,0.5,0.5,1.0,0.0,0.6667,1.0,0.6667,0.5,1.0,0.3333,1.0,51,C,1,Medium
STU0083,0.2667,26.67,64.5,0.3,0.3333,0.125,0.3667,0.0,10,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.6667,0.0,0.3333,0.5,0.5,0.3333,0.0,45,C-,0,High
STU0084,0.8333,83.33,41.83,0.9,0.8333,0.75,0.1333,0.0,2,0.0,1.0,0.6667,1.0,1.0,1.0,1.0,1.0,1.0,0.3333,1.0,1.0,0.0,1.0,1.0,1.0,77,A-,1,Low
STU0085,0.9667,96.67,36.73,0.9,1.0,1.0,0.0,0.0,0,0.6667,1.0,0.6667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,80,A,1,Low
STU0086,0.7,70.0,43.7,1.0,0.6667,0.375,0.2333,0.0,3,0.0,0.0,1.0,0.0,0.5,1.0,0.5,1.0,1.0,0.3333,1.0,0.6667,1.0,1.0,1.0,0.5,75,A-,1,Low
STU0087,0.3333,33.33,62.63,0.5,0.3333,0.125,0.4,0.0,10,0.0,1.0,0.3333,0.0,0.0,1.0,0.0,0.0,1.0,0.3333,0.0,0.0,0.0,1.0,0.6667,0.0,37,D,0,High
STU0088,0.7,70.0,42.8,0.7,0.8333,0.5,0.2,0.0,3,0.0,0.0,0.3333,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.6667,0.0,1.0,1.0,1.0,72,B+,1,Low
STU0089,0.2667,26.67,61.63,0.4,0.3333,0.0,0.4667,0.0,10,0.0,0.0,0.6667,0.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.5,35,D,0,High
STU0090,0.3333,33.33,51.27,0.5,0.4167,0.0,0.3333,0.0,9,0.0,0.0,0.6667,0.0,1.0,0.5,0.5,0.0,0.0,0.6667,0.0,0.0,0.0,0.5,0.3333,0.0,46,C-,0,High
STU0091,0.8,80.0,40.63,1.0,0.6667,0.75,0.1667,0.0,1,0.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.6667,1.0,1.0,0.0,0.5,1.0,1.0,67,B,1,Low
STU0092,0.6,60.0,46.53,0.7,0.6667,0.375,0.2667,0.0,3,0.0,1.0,0.3333,0.5,0.5,0.5,0.5,1.0,0.0,0.6667,1.0,0.6667,1.0,1.0,0.3333,0.5,67,B,1,Low
STU0093,0.7667,76.67,38.97,0.9,0.9167,0.375,0.2,0.0,2,0.0,0.0,0.6667,0.5,1.0,1.0,1.0,1.0,1.0,0.3333,1.0,1.0,0.5,1.0,0.6667,1.0,74,B+,1,Low
STU0094,0.5,50.0,45.33,0.8,0.5,0.125,0.3667,0.0,7,0.0,0.0,1.0,0.5,0.5,1.0,0.0,0.0,1.0,0.3333,1.0,0.3333,0.0,1.0,0.0,1.0,50,C,1,Medium
STU0095,0.6667,66.67,42.7,1.0,0.6667,0.25,0.2667,0.0,2,0.0,0.0,0.6667,0.5,0.5,1.0,1.0,1.0,1.0,0.6667,1.0,1.0,0.5,0.5,0.3333,0.5,69,B,1,Low
STU0096,0.9,90.0,39.7,1.0,0.9167,0.75,0.1,0.0,0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.6667,1.0,1.0,1.0,1.0,0.6667,1.0,79,A-,1,Low
STU0097,0.1,10.0,65.4,0.1,0.1667,0.0,0.4667,0.0,13,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3333,0.0,39,D,0,High
STU0098,0.7667,76.67,40.87,1.0,0.5833,0.75,0.2333,0.0,1,0.3333,1.0,0.6667,1.0,1.0,1.0,1.0,1.0,1.0,0.6667,1.0,0.6667,0.5,1.0,0.3333,0.5,82,A,1,Low
STU0099,0.6667,66.67,44.57,1.0,0.5,0.5,0.2667,0.0,3,0.0,0.0,0.6667,0.5,0.5,1.0,0.0,1.0,0.0,0.6667,1.0,0.6667,1.0,0.5,1.0,1.0,89,A+,1,Low
STU0100,0.7,70.0,40.77,0.9,0.8333,0.25,0.2333,0.0,3,0.0,0.0,1.0,0.0,0.5,1.0,0.0,1.0,1.0,0.6667,1.0,0.6667,0.5,1.0,1.0,1.0,62,B-,1,Medium
STU0101,0.4,40.0,58.27,0.6,0.4167,0.125,0.4333,0.0,8,0.0,0.0,0.3333,0.5,1.0,1.0,0.0,1.0,1.0,0.3333,0.0,0.0,0.5,0.0,0.3333,0.5,45,C-,0,High
STU0102,0.8667,86.67,42.53,1.0,0.8333,0.75,0.1333,0.0,0,0.5,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,0.6667,1.0,0.6667,1.0,1.0,1.0,1.0,81,A,1,Low
STU0103,0.6,60.0,46.8,0.8,0.75,0.125,0.2667,0.0,4,0.0,1.0,0.3333,0.5,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.6667,0.0,1.0,0.6667,1.0,63,B-,1,Medium
STU0104,0.5,50.0,56.93,0.8,0.5,0.125,0.3667,0.0,5,0.0,0.0,0.6667,0.0,0.5,0.5,0.5,1.0,0.0,0.3333,1.0,0.0,0.5,0.5,1.0,1.0,44,D+,0,High
STU0105,0.8333,83.33,40.1,1.0,0.9167,0.5,0.1667,0.0,1,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.6667,0.5,1.0,0.6667,1.0,82,A,1,Low
STU0106,0.2667,26.67,70.57,0.6,0.1667,0.0,0.4667,0.0,10,0.0,0.0,0.3333,0.0,0.5,0.0,0.0,1.0,0.0,0.6667,0.0,0.0,0.0,0.5,0.6667,0.0,32,E,0,High
STU0107,0.2333,23.33,64.47,0.4,0.25,0.0,0.3667,0.0,10,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,0.0,0.3333,0.0,0.0,0.5,0.0,0.0,1.0,51,C,1,Medium
STU0108,0.6333,63.33,48.53,0.7,0.6667,0.5,0.2667,0.0,3,0.0,0.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.3333,0.5,0.5,0.6667,0.0,66,B,1,Low
STU0109,0.8333,83.33,42.5,1.0,0.9167,0.5,0.1333,0.0,2,0.0,0.0,0.3333,1.0,1.0,1.0,1.0,1.0,1.0,0.6667,1.0,1.0,1.0,1.0,0.6667,1.0,67,B,1,Low
STU0110,0.5667,56.67,49.27,0.7,0.6667,0.25,0.2667,0.0,4,0.0,1.0,0.3333,0.5,1.0,1.0,0.0,1.0,1.0,0.3333,1.0,0.6667,0.5,0.0,0.6667,0.5,59,C+,1,Medium
STU0111,0.8667,86.67,40.63,1.0,0.9167,0.625,0.1333,0.0,1,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.6667,1.0,76,A-,1,Low
STU0112,0.7333,73.33,45.77,0.9,0.6667,0.625,0.2333,0.0,3,0.0,1.0,1.0,1.0,0.5,0.5,0.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,0.3333,1.0,73,B+,1,Low
STU0113,0.5,50.0,50.9,0.6,0.5,0.375,0.3667,0.0,5,0.0,0.0,0.6667,0.5,0.5,0.0,0.5,1.0,1.0,0.3333,1.0,0.6667,0.0,0.5,0.3333,1.0,52,C,1,Medium
